Author,Handle,Post,Date,Likes,Reposts,Comments,Post Link,Profile Lİnk
mike otuoma,@mike_otuoma,"What are you people doing about Car Wash Zimmerman...your officials are saying @KenyaPower_Care @KenyaPower. Can not afford a transformer that spoilt a month ago   

Resolve these issues",Apr 16,,,1,https://x.com/mike_otuoma,https://x.com/mike_otuoma
Den ise,@denodenis11,"@KenyaPower_Care @KenyaPower now be serious,8 days no power since the transformer issue in utawala ottomart area

We are suffering ,, and don't tell me to Dm since you just blue tick

@babu",Apr 16,,,,https://x.com/denodenis11,https://x.com/denodenis11
Simon Nganga,@Nganga_Simon,@KenyaPower_Care We are now on the 3rd week without power since our transformer was vandalized. Not a single word from KPLC despite multiple requests. Location is Ndioni - Limuru. Can anyone assist?,Apr 16,,,4,https://x.com/Nganga_Simon,https://x.com/Nganga_Simon
Joel king,@Joelkin21287815,Hello I just want information from your office concerning a transformer you mounted few weeks ago in shilanga area since there's no electricity from that day onwards it's been empty promises from the relevant contractors but no work done,Apr 16,,,2,https://x.com/Joelkin21287815,https://x.com/Joelkin21287815
BMK,@BenardBenks,But the problem is at the transformer since its only one phase that's down,Apr 16,,,2,https://x.com/BenardBenks,https://x.com/BenardBenks
Zara Kirk,@KirkZara13,Stima#01452049842#No power since Sunday. I have medicines that are stored in the fridge. What's happening? Why is that with light or heavy rainfall your transformer gives in?,Apr 16,,,2,https://x.com/KirkZara13,https://x.com/KirkZara13
Somek Taiwa,@somektaiwa,Have reported severally lack of power for the residents of Waitaluk ward Trans Nzoia County neighbouring St Joseph Sec Sch following removal of faulty transformer..It is 3 months now in darkness and counting.Todate no response.Your customer care is really wanting!!,Apr 16,,,,https://x.com/somektaiwa,https://x.com/somektaiwa
Somek Taiwa,@somektaiwa,Your customer care is really wanting!Have complained severally regarding lack of power following removal of faulty transformer..it is three months now and counting!!,Apr 16,,,1,https://x.com/somektaiwa,https://x.com/somektaiwa
Veron,@Veron64782666,@KenyaPower_Care How long does it take to fix a faulty transformer? Zimmerman Carwash we have been in darkness for a month now,Apr 15,1,,1,https://x.com/Veron64782666,https://x.com/Veron64782666
𝕯𝖚𝖓𝖈𝖆𝖓 𝕶𝖔𝖐𝖔𝖓y𝖆,@DuncanKokonya,"@KenyaPower_Care 
1/4. My ac/no is 14246488176

Are some people More Citizens than others in this country courtesy of you 
Why do u hate Ruaka so much? We experience atleast 7 blackouts in a day here at Kariuki Drive simply because of an overload in one transformer",Apr 15,,,1,https://x.com/DuncanKokonya,https://x.com/DuncanKokonya
Gatheca Eric,@Ericwaiganjo,@KenyaPower_Care our area ( Gitundu to Githigio in Gatundu south) has had no electricity for 9 days now. Some technical team came and took our transformer since then about 83 homes have been in darkness. Our meter number (11841859) kindly sort us out.,Apr 15,,,1,https://x.com/Ericwaiganjo,https://x.com/Ericwaiganjo
@musita,@musita,"@KenyaPower_Care, your staff have been on the transformer connecting to this token, 54500671984 like three times today but still stima zimepotea,  can really find where the problem is and sort this completely it has been the same issue for the whole of last week",Apr 15,,,2,https://x.com/musitaisaac,https://x.com/musitaisaac
rogaroga,@rkamathi,"@KenyaPower_Care 
Please help sort us out @ Kikuyu Kidfarmaco nearGardens  Restaurant / Afi Butchery transformer(blown out fuse) Kikuyu office unresponsive",Apr 15,,,1,https://x.com/rkamathi,https://x.com/rkamathi
Panktcha,@panktcha,"@KenyaPower_Care Power outage after the rains. Now low voltage with power switching on and off. Send support team to fix fuses at transformer near Chief's camp. Kamiti Road, Kamiti Ridge/Corner estate, Evergreen court. A/C 14244275153.",Apr 15,,,1,https://x.com/panktcha,https://x.com/panktcha
Catherinekrosby,@krosbyLTD,"@KenyaPower_Care overloaded transformer which keeps blowing up everyday.we have tried getting permanent solutuon but which has not been forth coming.all calls have fallen to deaf ear.this is a disaster in waiting
#clifftopestatemuchatha",Apr 15,,,,https://x.com/krosbyLTD,https://x.com/krosbyLTD
M,@theMissM_,"@KenyaPower_Care it's me again ,your technicians took away our transformer 1 week ago and we are still in the dark up until now",Apr 15,,,2,https://x.com/theMissM_,https://x.com/theMissM_
Wanjiku Munyiri,@Sylvia_Gachahi,"@KenyaPower_Care kindly assist
I'd like to report a power outage since last night. The transformer blew up
Location- Mwiki Njeri hse rd 3rd street area
Metre no. 37176526038
Will appreciate all assistance",Apr 15,,,1,https://x.com/Sylvia_Gachahi,https://x.com/Sylvia_Gachahi
Beatie,@Iam__beatie,Hello good evening there hasn't been lights in nyamasaria for two days.. Transformer imechomeka inachoma vitu za watu yet nothing has been done...There is risk of theft when their is no power...The complaint has been booked under ref number 11016421 Do something about it quick,Apr 15,,,3,https://x.com/Iam__beatie,https://x.com/Iam__beatie
Sir Williez,@williemanyara,How long does it take to repair or replace a transformer. ?,Apr 15,,,1,https://x.com/williemanyara,https://x.com/williemanyara
"MUYA, Kihumba",@MUYAKihumba,"@KenyaPower_Care We understand you lost your man as he tried to work on a transformer on Friday. While we understood your situation, you have no justification for not reconnecting the power until now.",Apr 15,,,,https://x.com/MUYAKihumba,https://x.com/MUYAKihumba
Ste'phanoMtetezi,@Stephenstephano,"@KenyaPower_Care  its almost 2 weeks a transformer has not been replaced  in Siala K'aduol Village In Onyinyore  Location, Gem Sub Location in Siaya County  and the Community are tired being in darkness which brings insecurity in the area @KenyaPower 
@InteriorKE",Apr 15,,1,,https://x.com/Stephenstephano,https://x.com/Stephenstephano
John Odipo,@John83577777,"Kindly liase with KPLC Mumias and Kakamega Offices to restore faulty transformer at Ebuyengere, Mumias West in Kakamega County. Blackout since 2023 December.",Apr 15,,,2,https://x.com/John83577777,https://x.com/John83577777
#RutoMustGo,@rehemamk,So munataka kusema that you don't know of a transformer that blew last week Wednesday?,Apr 15,1,1,1,https://x.com/rehemamk,https://x.com/rehemamk
BuyNow Kenya,@buynowke,"@KenyaPower_Care No power in Kinoo, along Chief's Road affecting a strip of apartments and businesses. A transformer blew two days ago, any progress on the issue?",Apr 15,1,,4,https://x.com/buynowke,https://x.com/buynowke
Leah_Luseno,@Leah_Luseno,"We lost power on the 8 April 2024 in Utawala,Githunguri and still don't have power till date. We were told it was a transformer issue that would be sorted in 2 business days,still to no avail. There's no clear communication on whether the issue is being sorted only speculation.",Apr 15,,,2,https://x.com/Leah_Luseno,https://x.com/Leah_Luseno
Leah_Luseno,@Leah_Luseno,"We lost power on the 8 April 2024 in Utawala,Githunguri and still don't have power till date. We were told it was a transformer issue that would be sorted in 2 business days,still to no avail. There's no clear communication on whether the issue is being sorted only speculation.",Apr 15,,,2,https://x.com/Leah_Luseno,https://x.com/Leah_Luseno
Vero Nganga,@VeronicahNgang4,"Githurai 45 just adjacent to the railway station, highview area, now third week. Transformer was taken by your team. Nothing being done. Businesses at standstill. Anyway you have the monopoly for now.",Apr 15,1,,,https://x.com/VeronicahNgang4,https://x.com/VeronicahNgang4
Vero Nganga,@VeronicahNgang4,"Githurai 45 just adjacent to the railway station, highview area, now third week. Transformer was taken by your team. Nothing being done. Businesses at standstill. Anyway you have the monopoly for now.",Apr 15,1,,,https://x.com/VeronicahNgang4,https://x.com/VeronicahNgang4
Mbugua Gacheru,@Babakewillie,"@KenyaPower_Care @KenyaPower 
 Below are tokens bills For last month and this month. How comes less token received this month even after announcement made today. 5 tokens reduced? What is the issue.",April 15,1,1,2,,
Eng. Agayo Williams,@BabaGisubizo,"@KenyaPower_Care 
Hello.
We are in darkness for the last one week, I was told our transformer blew and it will take 3 weeks to get a replacement.
Can that duration be reduced!?",Apr 14,,,,https://x.com/BabaGisubizo,https://x.com/BabaGisubizo
kigara wamai,@KigaraW,@KenyaPower_Care kindly do something to rectify this transformer at maziwa along Kamiti Road pliz,Apr 14,,,,https://x.com/KigaraW,https://x.com/KigaraW
Eng. Agayo Williams,@BabaGisubizo,"@KenyaPower_Care 
Hello.
We are in darkness for the last one week, I was told our transformer blew and it will take 3 weeks to get a replacement.
Can that duration be reduced!?",Apr 14,,,,https://x.com/BabaGisubizo,https://x.com/BabaGisubizo
kigara wamai,@KigaraW,@KenyaPower_Care kindly do something to rectify this transformer at maziwa along Kamiti Road pliz,Apr 14,,,,https://x.com/KigaraW,https://x.com/KigaraW
Petronilla Mutuku,@MutukuPetmu2002,Hello kenya power.its almost a month now since the kplc team took the transformer supplying power on my area..kindly assist.hii giza imezidi..juja road near total karambee(mlango kubwa),Apr 14,1,,1,https://x.com/MutukuPetmu2002,https://x.com/MutukuPetmu2002
waikiki,@IreriJb,@KenyaPower_Care Hi. We have been without power since Thursday. Your staff got an accident while repairing transformer at donholm. We will suffer because of this till when?,Apr 14,,,1,https://x.com/IreriJb,https://x.com/IreriJb
Ngugi James,@JamboMe,"Well, for us in only this street power outage is more consistent than supply because of a faulty transformer that has never been resolved. We've been in darkness since 7pm. Since March 3 we are begging for a resolution. @cofe",Apr 14,,,,https://x.com/JamboMe,https://x.com/JamboMe
Maureen Mwikali,@Mondungwa,A whole week in Coast kawangware you are telling us we wait for a whole two weeks why???? Please fix the transformer vyakula vyetu zinaharibikia Kwa fridge . Our businesses are losing and with this economy how shall we survive? Will there be compensation,Apr 14,1,,,https://x.com/Mondungwa,https://x.com/Mondungwa
karige,@karigeloi,@KenyaPower_Care our transformer exploded a few hours ago in sewage juja we are in darkness,Apr 14,,,,https://x.com/karigeloi,https://x.com/karigeloi
Mickie Mwangi,@MwangiMickie,This is yet to be fixed even after your team visited the affected transformer an left without fixing the issue,Apr 14,,,2,https://x.com/MwangiMickie,https://x.com/MwangiMickie
Brian havertz,@Brianmuhia0000,@KenyaPower_Care it has been 4 days but finally we are grateful transformer changed thank you,Apr 14,1,,1,https://x.com/Brianmuhia0000,https://x.com/Brianmuhia0000
mdg_photography,@mdg_chosen,"@KenyaPower_Care  kindly assist kinoo area transformer blew up at around 1:20 am in kinoo  but havent seen or gotten help from your end 
Mtr no 92106842914",Apr 14,1,,1,https://x.com/mdg_chosen,https://x.com/mdg_chosen
chedi usu,@Onetouc42118217,Matugulu sub county in machakos is your staff are stealing transformers in broad daylight we are in darkness even the one installed recently they have taken it away.. kindly advise us what to do or we install solar panels,Apr 14,,,,https://x.com/Onetouc42118217,https://x.com/Onetouc42118217
Sheldon Nyamwaya,@SheldonNyamwaya,"Hello @KenyaPower_Care ...since our transformer was blown out a week ago nothing has been done....
Location: Gidhunguri Ruai",Apr 14,,,,https://x.com/SheldonNyamwaya,https://x.com/SheldonNyamwaya
Deborah Mutheu,@DeborahMutheu5,"Hello,today is day 5 without power due to transformer malfunction at  ndongoro, lower kabete, Any possibility of restoration today?",Apr 14,,,2,https://x.com/DeborahMutheu5,https://x.com/DeborahMutheu5
Elvis,@ElvisOwango,"Our transformer is blowing red fire it's power hook metals are burning red. Our electronics have been destroyed. I have raised this several times and there's no response. Do you want the whole village to be blown? Ahero,Magina, Apondo Primary transformer meter no. 37196517207.",Apr 14,,,,https://x.com/ElvisOwango,https://x.com/ElvisOwango
Eve Mwenda,@Mwenda_E,@KenyaPower_Care transformer blew in Lower kabete near Dongoro Primary school on Wednesday 10th April. Today is 14th and we still have no power. Please do something,Apr 14,,,1,https://x.com/Mwenda_E,https://x.com/Mwenda_E
Sammy Nyaranga,@SkSkiteki,"@KenyaPower_Care , Kindly rectify the power outage at coast Area, Kawangware, the place has been in darkness for the last 7 days now due to transformer breakdown. More business losses, insecurity cropping up as time goes by.. please do something.",Apr 14,,,1,https://x.com/SkSkiteki,https://x.com/SkSkiteki
Lady_B,@venyanga,@KenyaPower_Care power out again at Wholesale center Mugutha-Ruiru. It's not even 12 hours since it went off again. Send your team to diagnose the transformer serving this center conclusively. The inconveniences are too much.,Apr 14,,,1,https://x.com/venyanga,https://x.com/venyanga
Marisella Ouma,@mwarsie,"@KenyaPower_Care, our transformer in Kibiko blew up on Friday night, duly reported and still in darkness. No Kenya Power team has responded.",Apr 14,,,1,https://x.com/mwarsie,https://x.com/mwarsie
Eve Mwenda,@Mwenda_E,@KenyaPower_Care transformer blew in Lower kabete near Dongoro Primary school on Wednesday 10th April. Today is 14th and we still have no power. Please do something,Apr 14,,,1,https://x.com/Mwenda_E,https://x.com/Mwenda_E
Sammy Nyaranga,@SkSkiteki,"@KenyaPower_Care , Kindly rectify the power outage at coast Area, Kawangware, the place has been in darkness for the last 7 days now due to transformer breakdown. More business losses, insecurity cropping up as time goes by.. please do something.",Apr 14,,,1,https://x.com/SkSkiteki,https://x.com/SkSkiteki
Lady_B,@venyanga,@KenyaPower_Care power out again at Wholesale center Mugutha-Ruiru. It's not even 12 hours since it went off again. Send your team to diagnose the transformer serving this center conclusively. The inconveniences are too much.,Apr 14,,,1,https://x.com/venyanga,https://x.com/venyanga
Marisella Ouma,@mwarsie,"@KenyaPower_Care, our transformer in Kibiko blew up on Friday night, duly reported and still in darkness. No Kenya Power team has responded.",Apr 14,,,1,https://x.com/mwarsie,https://x.com/mwarsie
Nyeve,@evelyn_nyaboke,When should we expect a transformer for Lewisa Secondary and surroundings along Lewisa road in Kiserian?,Apr 13,,,1,https://x.com/evelyn_nyaboke,https://x.com/evelyn_nyaboke
Nyeve,@evelyn_nyaboke,When should we expect a transformer for Lewisa Secondary and surroundings along Lewisa road in Kiserian?,Apr 13,,,1,https://x.com/evelyn_nyaboke,https://x.com/evelyn_nyaboke
Meshy,@Mesheck_Theri,@KenyaPower_Care It's been almost 2 weeks without lights huku Utawala githunguri because of a faulty transformer what's happening hakuna replacement.,Apr 13,,,,https://x.com/Mesheck_Theri,https://x.com/Mesheck_Theri
H,@HeeranNdunda,"When do we expect a transformer in Lukenya,kwa kalusya Dispensary/primary and its environs",Apr 13,,1,1,https://x.com/HeeranNdunda,https://x.com/HeeranNdunda
Budz,@Gilfordbudz1,No power in murera kwa tom around the transformer since yesterday no one cares to respond,Apr 13,,,1,https://x.com/Gilfordbudz1,https://x.com/Gilfordbudz1
Lady_B,@venyanga,@KenyaPower_Care power off again. Please address the issue with a permanent solution to the ever going off transformer at Wholesale center Mugutha-Ruiru.,Apr 13,,,1,https://x.com/venyanga,https://x.com/venyanga
Brian havertz,@Brianmuhia0000,@KenyaPower_Care still no electricity at lower kabete ndongoro area faulty transformer for almost 4days,Apr 13,1,1,,https://x.com/Brianmuhia0000,https://x.com/Brianmuhia0000
GRACE GITONGA,@GRACEGI40501549,Kindly restore power in our area ruiru murera our transformer is the one that is near Jabezu hardware . Kindly do something and check your DM,Apr 13,1,,1,https://x.com/GRACEGI40501549,https://x.com/GRACEGI40501549
kigara wamai,@KigaraW,@KenyaPower_Care kindly help us we have been in the dark for the last two weeks because of the transformer.,Apr 13,,,3,https://x.com/KigaraW,https://x.com/KigaraW
monicah,@shiku84,@KenyaPower_Care account 14228362084 no power in the house transformer just blew up with the loudest bang,Apr 13,,,2,https://x.com/shiku84,https://x.com/shiku84
Eye Arm Brisqow,@BrisqowKe,@KenyaPower_Care How long does it take to fix a transformer? I sent a DM that has gone unanswered.,Apr 13,,,3,https://x.com/BrisqowKe,https://x.com/BrisqowKe
Antony opiyo,@AntonyOpiyo3,@KenyaPower_Care how long does it take you to fix a transformer?.,Apr 13,,,2,https://x.com/AntonyOpiyo3,https://x.com/AntonyOpiyo3
Nyamori,@daktari_07,@KenyaPower_Care please we have businesses to run in suneka centre kisii county .it has been a month since y'all promised to replace the broken transformers man.,Apr 13,,,2,https://x.com/daktari_07,https://x.com/daktari_07
Mukami Muchoki,@Mukami1,"@KenyaPower_Care KPLC, kindly send technicians to Ark place Kikuyu road,lights went off yesterday Friday 12th April at 9:00 pm due to transformer failure after heavy rain and have not yet come back till today Saturday 13th April.Meter number is 11244951. Complaint ref 11007845",Apr 13,1,,1,https://x.com/Mukami1,https://x.com/Mukami1
Kiliko,@Kuliksss,@KenyaPower_Care you guys seem to confirm you're okay with the state of this transformer.,Apr 13,,,,https://x.com/Kuliksss,https://x.com/Kuliksss
PhanerosWear,@PhanerosWear,@KenyaPower_Care we have not had electricity since Thursday evening. Today's Saturday. Issue is with the transformer right opposite Deliverance Church in Old Donholm. Ac no 37186784833,Apr 13,,,1,https://x.com/PhanerosWear,https://x.com/PhanerosWear
steve,@vostiz,"@KenyaPower_Care  Hi 
We have been in darkness since Wednesday evening till now our transformer blew off hence we are in darkness kindy assist
I had informed your team but no action my case no. Is 10999525
My meter no. 30637926",Apr 12,,,2,https://x.com/vostiz,https://x.com/vostiz
Halima,@Halima_mima10,This is just a pure joke @KenyaPower_Care how can you tell us that a faulty transformer will be repaired on Monday it is now 3 days since we don't have power.,Apr 12,,,,https://x.com/Halima_mima10,https://x.com/Halima_mima10
Nancy Abuga,@NancyAbuga61805,"Gesweswe area ,ekerenyo Nyamira county what's happening???Kenya power came for replacement of a transformer which had been fallen due to heavy rain ... they replaced with the one not working since then we have never received power what's happening?? Please help....",Apr 12,,,1,https://x.com/NancyAbuga61805,https://x.com/NancyAbuga61805
ʙʟᴀɪꜱᴇ ᴇᴍᴍᴋᴀʏ ©⋆⋆,@RealEmmkay,"@KenyaPower_Care we need electricity here at Mumias, area around St Peters Boys. Power is of low voltage. Suspected  transformer failure.",Apr 12,,,1,https://x.com/RealEmmkay,https://x.com/RealEmmkay
Bena Ooouuii™...,@benaomondi,"@KenyaPower_Care No power in Muimara estate, Imara Daima since this morning at 9am. Transformer shorted and power disappeared. When will it be restored?",Apr 12,,,3,https://x.com/benaomondi,https://x.com/benaomondi
Cindano,@GCindano,"@KenyaPower_Care 
Good afternoon sirs,

There have been 2 transformers which have exploded near Samson Corner, Embu-Nairobi highway.

The area is now without electricity.

Please assist.

Asante",Apr 12,,,2,https://x.com/GCindano,https://x.com/GCindano
Alex Fougz,@AlexFougz,Githurai  45 (relli area) still has one yet to be replaced.. exploded in 2002... Soo sad there are still colonial transformers & poles ... independence ni nyinyi,Apr 12,,,1,https://x.com/AlexFougz,https://x.com/AlexFougz
ANTONY,@MsaniiTonie,"I think KPLC is the most unprofessional company we have. How do a problem persist for over a year and not fix it? Check on that transformer at KWA MUNDIA, Near Olive Green hotel, Murera because for a week count about 3 days when power is either off, dim or flickering on and off.",Apr 12,,,,https://x.com/MsaniiTonie,https://x.com/MsaniiTonie
The East African Patriot,@jobransupplies,"Please would you get in touch with your staff in  Ruai to come and get the transformer replaced, I wasn't issued with any ref number!",Apr 12,,,1,https://x.com/jobransupplies,https://x.com/jobransupplies
Laban kemboi,@kemboilabank,"Today is day 5 without power due to transformer malfunction along gitanga Road, Any possibility of restoration today?@Cofek_Afri",Apr 12,1,1,2,https://x.com/kemboilabank,https://x.com/kemboilabank
Mwangi,@Poet_Mwangi_,@KenyaPower_Care We have not had power since last week. The transformer had a problem and your team came and picked it up. They have not returned since. kindly assist. Account no is 1374743,Apr 12,,,3,https://x.com/Poet_Mwangi_,https://x.com/Poet_Mwangi_
Fade,@Kiringureuben1,"Why do you have to pretend you handle shit like ever coz it a highlight by mainstream media, how many exploded/damaged transformers have you replaced esp in rurals, mtuo upuzi apa buana",Apr 12,7,,1,https://x.com/Kiringureuben1,https://x.com/Kiringureuben1
DNM,@DavidMuritu2,"It's not addressed,the Transformer blew and was taken by KPlC Team . We have not had power for the whole of this week.",Apr 12,,,2,https://x.com/DavidMuritu2,https://x.com/DavidMuritu2
Firdaus Omar Mwera,@MweraOmar,Transformer has blown up at muimara estate at 8.30am. The transformer is at International Christian Centre my account no is 37155427448. Kindly assist,Apr 12,,,2,https://x.com/MweraOmar,https://x.com/MweraOmar
maxwell ramba,@MaxwellRam76940,Kindly just come and sort out the issue once. Iishe kindly the transformer is back but bado hakuna stima . It was returned last week friday. Kindly my plea to you do a complete.,Apr 12,,,1,https://x.com/MaxwellRam76940,https://x.com/MaxwellRam76940
wachira wambui,@EEllahshire,"@KenyaPower_Care .
01450622400.
We are experiencing a power outage.
We heard a loud blast, possibly from a transformer before the lights went.
Kindly sort us out",Apr 12,,,2,https://x.com/EEllahshire,https://x.com/EEllahshire
Odlum Grasshouse,@OdlumG93383,Can I get my bill in Pdf format on my email?,April 11,,,2,,
Odlum Grasshouse,@OdlumG93383,"Hello, is it possible to get my bill through email as a pdf ?",April 11,,,,,
Bella,@_Nana_Kc,"@KenyaPower_Care muangalie inbox and tell me why my power has been disconnected and I don't have any pending bills...
My meter number is there.. Please nkt",April 11,1,1,3,,
viglance wachia,@viglance_w,@KenyaPower_Care now this is becoming a bad joke ...everyday no electricity in Bamburi and yet you bring ridiculous bills,April 11,,,,,
robert ochola,@robertloungers,"@KenyaPower_Care the conspiracy at Kenya power post paid meter is that the customer pays his bill on time, they don't credit your account and at midnight of the due date, they disconnect you and load disconnection fee on your account.
This is day time robbery.39664378. 0722568015",April 10,,,,,
Konji,@PublicIntrst101,"@KenyaPower_Care open self reading service so that customers can submit anytime. Then bill them for those submissions asap.

Your cartels having already taken over the current service, are preventing self reading and billing customers estimates of say ⅒ #4UKnowWhy @EPRA_Ke",April 10,,,1,,
Finelay Ong'era,@FinelayO,Your technicians came and said the transformer is kaput. Kindly act,Apr 9,,,2,,
Jush,@jumaconnie6,"@KenyaPower_Care Reference Number 10987872 Account Number 40198863 Joska Outreach Transformer areas, No Power kindly assist",Apr 9,,,2,,
Lady_B,@venyanga,"@KenyaPower_Care transformer off for the 3rd time this week. Wholesale, Mugutha-Ruiru. Help out.",Apr 9,,,2,,
zer0 BILLIONAIRE,@Bon_Sinner,"there has been a massive explosion of a transformer in Green Estate, Kiembeni, Mombasa resulting in a power outage in the whole area.",Apr 9,1,,,,
zer0 BILLIONAIRE,@Bon_Sinner,"@KenyaPower_Care there has been a massive explosion of a transformer in Green Estate, Kiembeni, Mombasa resulting in a power outage.",Apr 9,1,,2,,
jeorge kamau,@KamauJeorge,"@KenyaPower_Care There has been a power outage from yesterday night at Transformer 10298, Nyeri Kindly Assist",Apr 9,,,,,
Wanjiru,@Shish_kabucho,"@KenyaPower_Care its been 4 MONTHS since the transformer serving GICHUNGO FARMERS WATER PROJECT IN GITHIGA, Kiambu got spoilt. 4 months with no water, water supposed  to be serving farmers, orphanage, schools, milk plant and everything else. When are you fixing the transformer??",Apr 9,,1,3,,
Bernard waliaro kemb,@KembBernard,@KenyaPower_Care my area transformer has low vaultage please assist its two days now,Apr 9,,,,,
Sapphire Rose,@RoseKeya,@KenyaPower_Care what is happening with power in Maziwa? When is the transformer getting fixed? This is day 3 without power!!,Apr 9,,,1,,
Distantspectator,@Spectatedistant,Jambo. My bill is now paid. I would still appreciate a reply either  here or from your 0702 977 977 KPLC number kindly assist,April 9,,,,,
Verified Account,@jayson_254,@KenyaPower_Care hey no power on my meter 2084481 despite bill being paid,April 9,,,2,,
Helen Odera,@akinyihelena,Kindly clarify why cash paid on 1 April has not been factored in bills generated from readings of 22 March. One Mr. Kirui has been harassing us and refusing to give us reasonable answers,April 9,,,,,
merchant,@Rukubrian,"@KenyaPower_Care I fully paid my bill na ni kama haikureflect pande yenu, sasa mmeizima, eish weewe yayenaomba tu usaidizi sasa, if you will offer it please",April 9,,,3,,
Fredrick Oyuga,@oyuga1,"@KenyaPower_Care My account no. is 30259305. My bill was due yesterday 8/04/2024. I paid the bill the same day in the evenining through MPESA. However, crediting notification from KPLC took time and only reached me at about 5.00 am today. When I woke up, the power had already",April 9,1,,4,,
robert ochola,@robertloungers,"@KenyaPower_Care  serious scam going on at Kenya power about smart meters. A customer pays his bill via mpesa on time , Kenya power refuses to credit the account until past the due date then they load the customer account with 580 reconnection fee. 39664378account. 0722568015.",April 9,,,1,,
Rukee J,@RukiaJuma142720,"You guys are really making things hard for us in chembani,nyevu estate,no lights since saturday..my business is totally ruined,what is going on seriously?only 3 houses with no lights since Saturday yet we pay our bills",April 9,,,,,
djdr turntablist,@djdrturntablist,"SD95LM9BO3 Confirmed. Ksh8,000.00 sent to KPLC for account 32253544 on 9/4/24 at 7:26 AM
Kindly restore this power on this account. Also I don't receive bills, just notice of suspension of service! At 3am! Really!?",April 9,,,,,
Allan Apwoka,@EAapwoka,"Hi, I live in Mumias town, in an estate known as camcom right in the middle of Mumias town and we have not had electricity for a month because of a faulty transformer, am wondering what will it take for that issue to be fixed surely and your offices are just next door.",Apr 8,,,3,,
Lemon,@Leonyab2017,"@KenyaPower_Care 
We're experiencing  a power blackout in Utawala Githunguri, just opposite Ottomat Supermarket.  I think its  an issue to do with the transformer.",Apr 8,,,2,,
anthony g kuria,@kuria_anthony,@KenyaPower_Care Ruiru office. Your service is just sickening. We've reported the issue of low power at Mugutha & no action. Bure kabisa. Just upgrade the dawn transformer!,Apr 8,,,2,,
wabatoss,@wabatossy,"@KenyaPower_Care your staff driving in a KDG 048C, came to lower Kabete at 7:40pm, tinkered with the transformer now we don't have lights,",Apr 8,,,1,,
Ivan,@_kings_shot,"@KenyaPower_Care Hello,kindly sort this transformer issue for us,it has been a month now,kazi zetu zimesimama(MUMIAS TOWN,CAMCON ,NEAR TOWNSHIP PRIMARY)",Apr 8,,,,,
Glory Marangu,@mirikomarangu,"@KenyaPower_Care 
Its been five days without power around kigane nkubu area due a blast of  the area transformer!.alot of businesses around the area are closed.its a very developed area to lack power for even a day! The losses people are counting here is unbelievable unbearable",Apr 8,,,,,
Tenacious,@MuchiriTinnie,There was a transformer explosion saturday night at mnarani junction. Kindly look into it..We have not had power since,Apr 8,,,1,,
jwaweru-m,@jdominiq,@KenyaPower_Care There's been no power since Saturday in Evergreen/Runda off Kiambu Rd. Around Ebony Street and adjacent consumers. What is going on? Smoke was emanating from a transformer in the neighborhood.,Apr 8,,,2,,
Wanjohi,@C_Wanjohi45,"Complaint numbers 10948252, 10948258, 10959171, 10976191

kPlc removed transformer last Wednesday 3April in the morning, they have not returned it 6 days now without power, no communication, just losses from.our businesses and total darkness after 7, you are not serious aky",Apr 8,,,1,,
Wagichuru,@imani2010faith,"@KenyaPower_Care It has been very difficult to reach you,whole morning been calling 97771 but kept on hold. I need urgent help on a postpaid bill.",April 8,,,3,,
Distantspectator,@Spectatedistant,"@KenyaPower_Care jambo. My bill is due today but I have not yet been assisted to know why it increased very much by over ksh 7,000/-  in one month kindly assist asante",April 8,,,2,,
PK,@pankajkakawat,@KenyaPower_Care Have some shame in term of stealing from your customers. 2nd day on a roll we have a power cut. Charging high bills & being power cut on regular basis no difference in power bills.,April 8,,,1,,
MT KENYA CHAMP𓃵,@OfficialMugo,"@KenyaPower_Care raised an issue ya your dm ya transformer kulipuka embu county, runyenjes,Gichiche Ngimari village mkishughulika pia shughulikieni wannachi 1week plus know another one yet in darkness is too much to handle",Apr 7,,,1,,
Smilemore,@Dekitdk,@KenyaPower_Care @KenyaPower what happens when a transformer blows? How soon is it changed?,Apr 7,,,,,
kerebij,@kerebij1,@KenyaPower_Care It's been 5 days since your people took the transformer along melawa Street at airbase ward...nothing has been communicated so far we have been in the dark...I wonder if it would have been the same if it was westlands or Karen??? Double standards at its peak!!!,Apr 7,1,,1,,
FrankieAndBren (),@MoAngwenyi,@KenyaPower_Care your people carried the transformer and left. We are still in darkness,Apr 7,,,,,
ALOICE,@ALOICETHEFIRST,"Unfortunately you always wait for disaster to happen, l highlighted this transformers almost been covered with vegetation in pondamali area in Nakuru.",Apr 7,,,,,
protus onyango,@protusonyango,"@KenyaPower_Care
please save the learners at Mungakha primary and secondary schools. They have been without power after KPLC workers collected a spoiled transformer 7 months ago. They need power to study. Residents also need power",Apr 7,,,,,
Matanya Kinyanjui,@nyashville254,My power supply is Stable the meter is  Okay the problem is the transformer as even other homes have the same problem.,Apr 7,,1,2,,
Ptaah W.,@PtaahW,"@KenyaPower_Care I reported about this transformer but you deliberately decided to ignore. Few months later, it has fallen on the classroom. Your Ruiru officials have been promising to act but they did nothing @_CrazyNairobian @Osama_otero @Cofek_Africa @citizentvkenya @ntvkenya",Apr 7,29,24,10,,
