Author,Handle,Post,Date,Likes
Allan Wachira,@wachiraa,"@KenyaPower_Care  has started being opaque with bills.clearly not an org. Willing to change or receive positive criticism. 
Units:53.72
Amt:1500.00
TknAmt:676.88
OtherCharges:823.12
For Details dial *977#",Mar-23,
Joy-Loise,@loise_bill,No power in kagaa kiambu county near hoswell church,Mar-23,
Joy-Loise,@loise_bill,No power in kagaa kiambu county,Mar-23,
Joy-Loise,@loise_bill,@KenyaPower_Care no power in kagaa kiambu county please help,Mar-23,
Moses Macharia,@GmMoses2,"In case you need the erroneous bill you sent on 8th!
That's 15 days ago",Mar-23,
Zaituni nyambu,@zaituni_nyambu,Am now really concerned why is kplc sending me est bills with over 1000 units every month?  My account no is 863658. My previous readings were est 161963 recieved current bill with readings of est 164830 took a picture of my meter on 13th this month below are the readings.,Mar-19,
kennedy makhamara,@makhamara,"Since yesterday at 9pm  the are of kiamumbi near kiamumbi police station we have had no power, foods staff in the fridge, phone are off, and nothing seem to be happening. Why such negligence like we don't need powered surely. Then at the end of the month you expect we pay bills.",Mar-19,
Maj_Githigo,@GithigoMaj,"@KenyaPower_Care KPLC Account: 29879095, location Ngano, Olkalou.
On 15 Mar 2023 @ 1500hrs, your staff disconnected my power and TOOK AWAY the fuse from main fuse box due to an overdue bill. I have since paid the bill.
Kindly but urgently ask them to reco",Mar-19,
Lichard,@olengatunyi,"@KenyaPower_Care why have you illegally attempted to disconnect me, bill me for it and then ignore me?

This is despite providing evidence on the TL AND THE DM! 

I am attaching them yet again, and rest assured I will be in your nightmares tomorrow. 

Y�",Mar-19,
Lichard,@olengatunyi,"@KenyaPower_Care why am I still receiving an invalid over inflated Bill?

Further, why did you illegally attempt to disconnect me over Said Bill?!

I have attached everything you have required repeatedly. My meter reading has not changed because the House",Mar-19,
Moses Macharia,@GmMoses2,"@KenyaPower_Care 
I want my bill updated!

@KenyaPower_Care 
You billed me earlier for account 41146935 15k, cut my power, exposed me to scammers, 
And now you're at it again!!

I've consumed 14 units, you have billed me 99! After just 9 days!!! Another 3",Mar-18,2
Gacheri MJ,@Gacheri_MJ,"@KenyaPower_Care jana mlicheza kama nyinyi. Kidogo kidogo lights were on. 
Si mpewe mbili kwa bill yangu bas.
Oh wait, No!! Hata bill yenu siku hizi wueh!! Is not simple 
Asanteni mkuwe mnachamgamka hio design",Mar-18,
#TheStorm,@BOBKILONZO7,Hi .. what's the Bill on this account? 22620171,Mar-17,
lizkisibo,@lizkisibo,"@KenyaPower_Care s LESS, patience doesn't pay the bills - a speedy resolution does.TAYAD  of waiting FOREVER!!!",Mar-17,
Gacheri MJ,@Gacheri_MJ,"@KenyaPower_Care jana mlicheza kama nyinyi. Kidogo kidogo lights were on. 
Si mpewe mbili kwa bill yangu bas.
Oh wait, No!! Hata bill yenu siku hizi wueh!! Is not simple 
Asanteni mkuwe mnachamgamka hio design",Mar-18,
#TheStorm,@BOBKILONZO7,Hi .. what's the Bill on this account? 22620171,Mar-17,
lizkisibo,@lizkisibo,"@KenyaPower_Care s LESS, patience doesn't pay the bills - a speedy resolution does.TAYAD  of waiting FOREVER!!!",Mar-17,
Bhavesh Shah,@Bhavesh80415249,@KenyaPower_Care a/c 15357197 power loss only in our building.  This happens quite frequently.  We pay the bills very much on time.  Could you kindly resolve once and for all.  Awaiting feedback urgently,Mar-17,
Beatrice Irungu,@Beatric86388327,"@KenyaPower_Care Good Morning, we still don't have power in Kahawa West along the By-pass just near  PCEA Kahawa Station....most places around there power is back but for our area still no power. Kindly can you attend to the issue....Bill No.30339206",Mar-17,
Alex Cameron,@AlexCameronM,@KenyaPower_Care I wanna check my dads pending bill...is there a way for me to find out his account number using his ID Number or Phone number??,Mar-17,1
Gacheri MJ,@Gacheri_MJ,"@KenyaPower_Care it's 2 days now 

This economy haikubaki tuongeze bill ya chakula. Fridges are off 

Kindly check on us 14235475192",Mar-17,
G.Gíthínji,@gnice81,"@KenyaPower_Care Hello wakuu,how can one check your bill through a phone?",Mar-16,
Gacheri MJ,@Gacheri_MJ,"@KenyaPower_Care Mtr no: 14235475192
Tuwekeni kwa mind for restoration. Voltage here is too low. And lights have been on and off since last night.  
Tafadhali hii economy haituruhusu kuongeza bill ya TV zimechomeka pûlîsî",Mar-16,
Winnie Wambi,@WambiWinnie,@KenyaPower_Care My bill was over estimated in November and i went and reported to the office. I have be to kplc offices like a zillion times since and it hasn't been sorted. Your staff came to harrass my worker today asking for bribes with the threat of ,Mar-16,
Ancient World,@Stanowakim,When will you rectify my meter anomaly bill?,Mar-16,
@Miss_Fifi :),@Miss_Fifi :),Which areas? You haven't listed. The power went out last night 11pm till now surely ? The power went out before it started raining! This is becoming too much we work with electricity inorder to pay ur ridiculous bills fix this problem once and for all.,Mar-16,
Nicholas Kossy,@KossyNicholas,"@KenyaPower_Care 
Kindly how can check my post paid bill",Mar-16,
George Opundo,@GjOpundo,@KenyaPower_Care I've questioned my billing on account 26291641 for years and today confirm that the billing is wrong.  Reading on the bill is 17365 while the actual meter reading is 17200,Mar-16,
Andrew J Franklin,@ajfactual52,"Why have you eliminated all the itemized charges from my bill. In February 2023 I could see all the taxes, levies, etc but yesterday you presented a “sanitized” bill that concealed the myriad charges!",Mar-16,4
Bill Okumu,@bill_okumu,"@KenyaPower_Care Hello power has been out for 1hr now at lower kabete, kingeero mtr no.22171020567",Mar-15,
Harambee,@JesseKenya,@KenyaPower_Care can our electricity bills be broken down like this? @EPRA_Ke @EnergyMinK,Mar-15,
ncekei,@ncekei,"@KenyaPower_Care  good morning,  I have a pending issue with my mombasa meter for almost 12 months now- we get bills and nobody ever reads the meter and tarrif issue bring a post paid account can anyone help.",Mar-15,
Manasseh N Ngichu,@manassehngichu,"@KenyaPower_Care there's a problem with my bill, one of your employees overstated my bill by Kshs 240,000 before he was transferred. His colleague came and raised the issue with his supervisor but it's yet to be effected. Kindly send me a statement so tha",Mar-15,
Halima,@Halima15897748,"Why my bill it's very high and I don't have vitu vya stima 
Last month sikulipa it was small amount.
It was 700 and now 3480.i will pay 1500",Mar-14,
Nyangweso B.Nyakundi,@Benwordworld,Hello @ kenyapower_care I paid a bill it's takin decades to return the message...I also paid 2 wks ago the token isn't being read,Mar-14,
Vivek Bhirud,@vivbhirud,"@KenyaPower_Care why are you making life so hard? Your restricting us to pay bills using bank mobile apps, your app- My power never works!!! @StanChartKE used to have this service and i was able to view balance and pay, very easy!!",Mar-14,
Joann Mbugua,@joann_mbugua,"@KenyaPower_Care Dear Kplc, I don’t understand why u disconnect peoples meters without prior notice to make it worse, i had paid my bill with even an excess.. getting reconnected is another hustle.. since Friday no lights and no one showing up to reconn",Mar-14,
Hassan Kingi Mwakitete,@HassanKingii,"I said irregular power supply. Fluctuations of power supply. High voltages, sometimes very low voltages. 

Since January 2023, my Bill's changed alot due to these fluctuations.",Mar-14,
Hassan Kingi Mwakitete,@HassanKingii,"Morning,

For how long will my Bill's be inflated by irregular power supply.?

Kindly assist!",Mar-14,
Syakula,@UnyaLuyemba,Give us details on our bills. Why conceal?,Mar-14,
Dismark Rodgers,@DismarkRodgers,"Nyinyi hamtatueka kwa Giza kila siku ,,,,and we pay bills",Mar-13,1
joseph,@joseph_luketelo,@KenyaPower_Care It seems you no longer read post paid meters but just estimate what to bill clients based on their previous consumption trends. I was away for close to a month and funny enough I was billed higher for that month compared to the subsequent,Mar-13,
felix,@nyorofelix,@KenyaPower_Care can you guys take your jobs seriously.The post-paid account  37632037 in Kamacharia kahore village continues to get outrageous bills this is despite the fact that we even brought the correct readings to the kangema office and no correctiv,Mar-13,
Kitengela Glass,@kit_hot_glass,@KenyaPower_Care so now i’m being threatened with disconnection because I refuse to pay ur outrageously inflated fictitious bill? & you cite ‘there is an issue with the billing department’ so ‘you just pay’. Bollocks to that. Sort urselves out. ,Mar-12,
Kim mwangi,@KimKimmwangi001,@KenyaPower_Care This people came to my home and told us that we have not being paying our bills and cut off the electricity.they claim to be kenya power.after all i took a picture of their car and they questioned me why i was taking the picture.what wron,Mar-10,
Zaffar Cocker,@zaffar_cocker,Good morning. My meter was read on  March 1. Usually you send notification via SMS immediately and the complete detailed bill by email. This time I have had no communication. My account number:147800849 . Tel: 0733604318. PLEASE SEND ME THE BILL. Thank you,Mar-10,
Naitalel Maina.,@Naitalel_maina,"Still no power.
Prices have trippled the bills we are getting are too high for us to be suffering this fate every week.",Mar-09,
David,@David88615636,@KenyaPower_Care Why is kplc doing this??? Because some people are not paying bill you cut power to the whole estate. People have lost a lot in businesses. Be considerate. Apply professionalism. JERUSALEM ESTATE Nairobi,Mar-08,
IamEddieEl,@EdelKay,"KPLC cut off power at Uhuru Estate, Nairobi today from the post/poll. Cutting off power in the area. Their reason: Illegal connection or unpaid bills from one of tenants. I asked your customer care to check my account, she says: “madam your account is clean. So why cut me off?",Mar-07,3
Nancie Waruguru,@nancie_waruguru,"@KenyaPower_Care, @KenyaPower hi. I'm trying to understand why I have received a call asking me to pay a reconnection fee of 580 and yet I paid my bill before the due date indicated. Account number is 2652392.",Mar-09,
Julie Julz,@Julie_Bettie,@KenyaPower_Care you should be sues for all the damages and losses we are incurring all because of you incompetence. Inconsistent power supply as if we don't pay bills like everyone else.,Mar-08,
Lena Kimencu,@GakiiKimencu,"@KenyaPower_Care hi, please give me the bill for this account 27421445. I am not getting a response from 9551",Mar-08,
NGONGANG Wandji D.,@DanubeWandji,This is the fourth day I am still waiting the bill statement from KPLC on the issue related to over billing of my electricity consumption. Still no response from @KenyaPower_Care,Mar-08,
Echoes of a people,@n_ndovu,"@kenyapower_care kindly help me understand how I got a bill of 6k over a 2 mnth period. I shower in my other house, no ironing, minimal microwaving, small 120l fridge almost always full and no tv or any speaker system just phone charging and led bulbs on ",Mar-08,
Mweu Joy,@MweuJoy,"I live in Uhuru Estate, and we are experiencing power failure. Why? Because one of your technicians was assaulted by people who don't pay their bills. Really! In this century? I pay my bills and I'm being punished for someone's else's poor decisions? This is day light robbery",Mar-08,
IamEddieEl,@EdelKay,"@KenyaPower_Care KPLC cut off power at Uhuru Estate, Nairobi jana from the post/poll. Cutting off power in the area. Their reason, Illegal connection or unpaid bills. I asked your customer care to check my account, she says: “madam your account has no b",Mar-08,
Syoks,@Syoks2022,*977# will always consumes 10 shillings but no response will ever be gotten. Hata ukiangalia bill.... Bure kabisaaaaa... Work on it,Mar-08,
Gathondu,@stevic2011,"@KenyaPower_Care I reported this is not my bill last year and you are still sending, kindly sort it acc. 26724787",Mar-08,
Ukweli,@AcheniUongo,"Which of your offices are open at this hour? 

Why would you indiscriminately disconnect power even for those who have paid their bills?

Impunity!!

Asad Khan at DCI Headquarters",Mar-07,1
Christian Bill,@billchristian63,@KenyaPower_Care ...no power in Angira Kisumu for the past four hours. Our businesses are on losses currently. Kindly address the situation,Mar-07,
Mwalimu stephen,@mwalimusituma,@KenyaPower_Care  kindly explain to me how someone can be notified on 6th March of a pending bill of KES 634 and the following day the line is disconnected with a bill of 1490.15 on 7th March?,Mar-07,
Ukweli,@AcheniUongo,"@KenyaPower_Care @KenyaPower has indiscriminately disconnected electricity for Jerusalem residents because of clients who do not pay their bills inconveniencing those who diligently pay their bills

River Yala DCI Headquarters Meru University",Mar-07,
Karago D. Mbiru,@karagombiru,"@KenyaPower_Care *977# not working for paying bills.

How else can we pay using MPESA?",Mar-09,1
Francis Lilungu,@FLilungu,I didn't get my bills is now 2month,Mar-07,
chigowDev,@Chigow2,"@KenyaPower_Care please help me. One of your agents whom we are not in terms keeps harassing me. He just added a bill to meter after I have paid my full bill today.
Kindly help me. Because in his own words he said ""utajua mimi ni nani""",Mar-07,
Cofele Martini,@CofeleMartini,"@KenyaPower_Care Glad you restored power. Now, how can my electricity bill shoot from a monthly average of Ksh 2,000 in 3 years to Ksh 19,000 this month! This is very, very unfortunate. I smell a rat, and that rat is fat! @CompetitionBots @KenyaPower",Mar-04,
Nancie Waruguru,@nancie_waruguru,"@KenyaPower_Care, @KenyaPower hi. I'm trying to understand why I have received a call asking me to pay a reconnection fee of 580 and yet I paid my bill before the due date indicated. Account number is 2652392.",Mar-09,
Julie Julz,@Julie_Bettie,@KenyaPower_Care you should be sues for all the damages and losses we are incurring all because of you incompetence. Inconsistent power supply as if we don't pay bills like everyone else.,Mar-08,
Lena Kimencu,@GakiiKimencu,"@KenyaPower_Care hi, please give me the bill for this account 27421445. I am not getting a response from 9551",Mar-08,
NGONGANG Wandji D.,@DanubeWandji,This is the fourth day I am still waiting the bill statement from KPLC on the issue related to over billing of my electricity consumption. Still no response from @KenyaPower_Care,Mar-08,
Echoes of a people,@n_ndovu,"@kenyapower_care kindly help me understand how I got a bill of 6k over a 2 mnth period. I shower in my other house, no ironing, minimal microwaving, small 120l fridge almost always full and no tv or any speaker system just phone charging and led bulbs on ",Mar-08,
Mweu Joy,@MweuJoy,"I live in Uhuru Estate, and we are experiencing power failure. Why? Because one of your technicians was assaulted by people who don't pay their bills. Really! In this century? I pay my bills and I'm being punished for someone's else's poor decisions? This is day light robbery",Mar-08,
IamEddieEl,@EdelKay,"@KenyaPower_Care KPLC cut off power at Uhuru Estate, Nairobi jana from the post/poll. Cutting off power in the area. Their reason, Illegal connection or unpaid bills. I asked your customer care to check my account, she says: “madam your account has no b",Mar-08,
Syoks,@Syoks2022,*977# will always consumes 10 shillings but no response will ever be gotten. Hata ukiangalia bill.... Bure kabisaaaaa... Work on it,Mar-08,
Gathondu,@stevic2011,"@KenyaPower_Care I reported this is not my bill last year and you are still sending, kindly sort it acc. 26724787",Mar-08,
Ukweli,@AcheniUongo,"Which of your offices are open at this hour? 

Why would you indiscriminately disconnect power even for those who have paid their bills?

Impunity!!

Asad Khan at DCI Headquarters",Mar-07,1
Christian Bill,@billchristian63,@KenyaPower_Care ...no power in Angira Kisumu for the past four hours. Our businesses are on losses currently. Kindly address the situation,Mar-07,
Mwalimu stephen,@mwalimusituma,@KenyaPower_Care  kindly explain to me how someone can be notified on 6th March of a pending bill of KES 634 and the following day the line is disconnected with a bill of 1490.15 on 7th March?,Mar-07,
Ukweli,@AcheniUongo,"@KenyaPower_Care @KenyaPower has indiscriminately disconnected electricity for Jerusalem residents because of clients who do not pay their bills inconveniencing those who diligently pay their bills

River Yala DCI Headquarters Meru University",Mar-07,
Karago D. Mbiru,@karagombiru,"@KenyaPower_Care *977# not working for paying bills.

How else can we pay using MPESA?",Mar-09,1
Francis Lilungu,@FLilungu,I didn't get my bills is now 2month,Mar-07,
chigowDev,@Chigow2,"@KenyaPower_Care please help me. One of your agents whom we are not in terms keeps harassing me. He just added a bill to meter after I have paid my full bill today.
Kindly help me. Because in his own words he said ""utajua mimi ni nani""",Mar-07,
Lolepio,@lolepioj,@KenyaPower_Care why would I be sent a reminder of my bill 1332.32 I pay 1400 now my power is disconnected and a claim of 3744 what is this,Mar-07,
Ancient World,@Stanowakim,@KenyaPower_Care until when will you change this anomaly bill? Can somebody wake up from his laxity and do something once and for all? I am getting tired of you Kenya power....,Mar-06,
NGONGANG Wandji D.,@DanubeWandji,"@KenyaPower_Care I want to raise a complaint about my monthly bills which have been disproportionately increased for the past two months.This month the bill came out to be 11k how come ? I live in Pearl court apartments, Ruaka. Please could this addressed",Mar-06,
Cofele Martini,@CofeleMartini,"@KenyaPower_Care Glad you restored power. Now, how can my electricity bill shoot from a monthly average of Ksh 2,000 in 3 years to Ksh 19,000 this month! This is very, very unfortunate. I smell a rat, and that rat is fat! @CompetitionBots @KenyaPower",Mar-04,
Gibson NDUNGU,@Gibsonwangui1,Hivi ndio tunaona kwa nyumba mmefurahia sasa au ndio mnaongeza bill mkiwa mmejificha????,Mar-04,
Josh Moch,@josh_moch,@KenyaPower_Care monopoly of the energy sector in the country needs to be challenged and addressed. Having no alternatives is every reason we getting power shortages and high bills.,Mar-04,
Provoke,@provokactive,Mi nafikiria KPLC huzima stima tusione wakiandika bills na kupandisha tokens..,Mar-04,3
Chembe Vuko,@actmzalendo,"@KenyaPower_Care @KenyaPower how long does it take to do a rebilling?i lodged this complaint on my account since 2nd march,you DM me and told me you were sorting it out but nothing has happened my bill is still the same,is this how you treat your customer",Mar-04,
QuEeNbEe MaChInE,@IvyAkish,Mukwende huko Bana simu zina zima na hatujalipa bill ya pombe,Mar-04,
Cyril osore,@CyrilOsore,Nonsense everytime....why are we paying bills nkt,Mar-04,
ROBERT BYNE,@RobbieByne,You have decided to go South African way just because you are being investigated over overcharging power bills,Mar-04,
Mwangi Githendu,@AbrahamGithendu,"Solar backup is the way.
No bills",Mar-04,
Lemashon Ⓛ,@jr_Olekongu,"“On power bills, we have two choices. Costly power available 24/7, or cheap power available a few hours a day, like SA..."" Said a UDA economist prophet.",Mar-04,
Meshack Magenyi,@MeshackMagenyi,"@KenyaPower_Care my nikhz, sup. 3 hrs plus, no lights, no communication, no nothing. I got bills  to pay. Problem at Regen for the last couple of days. Every day for a few hours.",Mar-04,
David Maina,@davidmaina,"The other one, one of your officers read the bill last month on 20th. Till today no bill",Mar-04,
David Maina,@davidmaina,"For one of them, I did just that had the pictures on WhatsApp and email a month ago but no bill till today",Mar-04,
Narcissist254,@Narcissist254,@KenyaPower_Care keep ignoring our tweet ......no power in zambezi account number 37150406561 for like 2 hours now....kwani what fo we pay our bills for,Mar-04,1
David Maina,@davidmaina,"@KenyaPower_Care @KenyaPower  Good afternoon, I manage some 2 houses. Have sent pictures of the bill and still no bills are forthcoming. Can we get help or link us to someone in charge of billing around Karen?",Mar-04,
Margaret Awuor,@MargaretAwuor10,"@KenyaPower_Care This is my 5th complaint about inflated bill. My meter was last read March 2022 yet my bill is Ksh.1,500 monthly when I have NO electronics in my house except a cell phone. It’s exploitation and corruption!! @kajiadowewant",Mar-04,
george marita ondaba,@ondabaSenior,What is the importance of paying bills when constantly our cctvs aren't working,Mar-03,
Homz,@Mwas_Homz,@KenyaPower_Care @KenyaPower kindly address power issue in muthiga. Its totally unfair we pay bills promptly but there is lots of power issue frequently. Some of us rely on stable electricity to work.,Mar-03,
Geoffrey gitonga,@Geffgit,"@KenyaPower_Care please explain to me how my bills are this much every month whereas no one stays at home every day till 7pm when we all come back,I don't use electricity for other purposes except lighting in the evening before I go to bed and ironing in ",Mar-03,
Margaret,@Ms_Ondeng,@KenyaPower_Care why is a random number calling me to check if i have paid my electricity bill?,Feb-27,
Proactive KOT,@JamesOladi,Kindly I have paid my bill account no:01451217028..but is now an hour haven't receive the units kindly assist me my work has stopped,Feb-27,1
Frav,@its_frav,@KenyaPower_Care  I used the 220220 pay bill to purchase my tokens. Assist kindly^,Feb-27,1
Nyandia Ndiho,@nyandiaswahi,@KenyaPower_Care please explain to me why I have two bills for January,Feb-27,
Bill Runyora,@BRunyora,They had come back earlier but we're in the dark again from around 4pm until now,Feb-26,
Bill Runyora,@BRunyora,Still in the dark,Feb-26,
Hon. Millie Abudho,@abudhomillie,What happened with my request to get my bill,Feb-26,
Bill Runyora,@BRunyora,"@KenyaPower_Care 
Morning. We experienced a Black out yesterday night and until now we still in the dark. Could your team kindly check for us what caused the black out",Feb-26,
NW,@NellyTus,"Hi, just wondering, before adjustment on Kplc bill will be ducted, what happened? Why no deductions nowdays?",Feb-25,
Lorna Cheruiyot,@katileCherio,@KenyaPower_Care the sooner you fix the DAILY frequent intermitted power fluctuations long Kamiti Road the better. We are soon passing bills for our messed up equipment to you. This is not sustainable,Feb-25,1
trwambo,@njery254,@KenyaPower_Care  I have overpaid my bill by mistake. Could you please assist by reversing the overpayment. The money is meant to pay my rent.,Feb-25,1
Downey Juniuor,@downeyjuniour,"@KenyaPower_Care RBO0CPW7R2
[20230224; ;Pay Bill; 888880 - KPLC PREPAID;Ksh50.00]Completed  
I've not received token from yesterday",Feb-25,
brian,@brian677,Why is my bill payment isn't reflecting?,Feb-24,1
Nyokabi Gathu,@nyoksgathu,@KenyaPower_Care i have severally sent an email requesting BILL STATEMENT. Why are you not responding??!,Feb-24,1
Melky Emonje,@MelkyEmonje,Your people have come and take my cables and I have no pending bill's,Feb-24,
Eric Ngamau,@Eric_Ngamau,@KenyaPower what happened to you? Why does adjusting a bill taking months? Don't take us back to the dark days. Please send me the adjusted bill.,Feb-24,
reuben,@oumarateng,@KenyaPower_Care  meter is dead then meter reading /bill rises from an average of 2k to 6k in that month kindly help sort. Acc 27097449,Feb-21,
Kutsw_.a,@IvyKutswa,How do I get my kplc utility bill?,Feb-23,
Aggrey Alwala,@AlwalaAggrey,"Ebusiratsi vihiga is not on the list and yet we already have an outage. you are taking this outage too far, everyday we must experience one and in hours how do you expect people to work and pay your bills?",Feb-23,4
Shreyash Patel,@PatelShreyash,@KenyaPower_Care no power since evening.. When it comes to bills you guys are so harsh like u own the country.. And hours without power u don't even respond. Kisumu even your emergency response is pathetic they don't answer calls.. A mass protest should b,Feb-22,2
Cataleya Colombia,@Colomb9Cataleya,What’s the essence of calling your customer care if they can’t assist us. KPLC you’re so incompetent. How do you block someone’s token coz of a bill without notice of a rental house on another unit that has never been defaulted 37151086701..,Feb-22,1
Shreyash Patel,@PatelShreyash,Ya but not at this hour.. Milimani my house has no Power at night.. And when u want the bills u start harrasing people to disconnect.. What a disgrace,Feb-22,2
Dónall Cross,@donall_x,"@KenyaPower_Care I have been trying to resolve a bill payment issue since early January. No meaningful engagement from customer care email. Please help with this, *before* it becomes a disconnection issue",Feb-22,
Daniel Kimani Wacira,@DanielWacira,"44232221 is the account number-- from that account, check where mobile number is-- mnatumanga bill monthly",Feb-22,
NIC,@dominicgatimu,@KenyaPower_Care this is my monthly bill from 300 been try to request for a  sitting with my office to no avail. Kindly assist,Feb-23,
Jags Kaur,@JagsKaur2,No power in Westlands. Why are we getting these frequent power cuts and huge bills to pay.,Feb-21,
Kung'u muiruri,@jacobmuiruri09,Does that bill payment number work only for safaricom line users?.I paid through airtel and the transaction was reversed.,Feb-21,
Margaret Awuor,@MargaretAwuor10,"@KenyaPower_Care your field employees don’t read the meters. They guess the bills. I don’t have ANY electronic yet my bill is Ksh. 1,500 monthly. This is extortion!!!",Feb-21,
Raju Shah,@RajuShah0707,@KenyaPower_Care currently I am out of country and can not access mpesa or cash. I can only do RTGS from the bank to pay my bill. What is the procedure?,Feb-21,
Micah Tenai,@micahtenai74,"I had talked of flactuating bills sometimes it goes as high as 12000 sometimes 5000 , or 3000 I have reported the matter to Eldoret office but nothing has been done",Feb-21,
QueenPin,@Miminimkare,@KenyaPower_Care can someone please help my mother get power back in her business. Please. All she needs to know is how the 70k bill came about when she has never done anything to her metre. We will also be glad if she got a prepaid metre. Her number 0726,Feb-18,
Sandrex Barasa,@sandrexbarasaa,@KenyaPower how does my bill suddenly read ksh. 3941 from ksh.700? Can you explain this @KenyaPower @KenyaPower_Care .,Feb-20,
BrayntBill,@BrayoBill,"@KenyaPower_Care, why the delay in getting tokens?",Feb-20,
Narcissist254,@Narcissist254,Pay for what bills na kazi ni kuzima stima kila siku ...how do you expect us to make money to pay you.... Account number 37150406561,Feb-20,
lee,@Lornaa29539552,"And why everymonth my bill is sh.3000 yet no one is coming to read the meter,I dont use electric cooker,my Tv got spoiled 3 months ago its only the fridge",Feb-19,1
D. M. Davidoff,@dav19122898,I pay my bill very promptly every single month and deserve much better service than this!! Airtime is expensive and should have to reimbursed by Kenya Power!! That will be the day  though I'm sure!!,Feb-19,1
Julie,@JuliahTuitoek,"Bill dated 08.02.2023
Cons units  92 kwh
Ksh 1159..20.
 Bill dated  11.01 2023
Cons units 122kwh
Ksh 939. My question is how come the lesser the units the higher the bill. What's not right in your Bill?",Feb-14,
Micah Tenai,@micahtenai74,Hello nothing has been done on flactuating bills as reported earlier we pay as high as 12000 though we use power for lights alone,Feb-17,
Maxwell Odhiambo,@MaxwellOdhiambo,"I always get negative bills, even when I pay",Feb-16,
Ancient World,@Stanowakim,"I know i have both prepaid and postpaid, for prepaid the token message came after but for postpaid, the anomaly bill is dated back as from June 2022,.... currently the said meter reads 8826.76",Feb-16,
Banays,@ABanays,"@KenyaPower_Care 
been trying to pay bill for my post paid account via 888888 for the past few hours getting this msg:-
Transaction failed, M-PESA cannot complete payment of Ksh3,000.00 to KPLC. Organization receiving the payment is unavailable, try again",Feb-16,
Benjamin Milimo,@BenjaminMilimo,@KenyaPower_Care charges ksh 580 penalty on late payment of a bill of ksh 500. Kenyan monopolies and their agenda to steal mwanainchi money.,Feb-16,
𝙱𝚘𝚜𝚜 𝚈𝚊𝚝𝚘𝚛☚,@Bossyator,Buy I tried all day yesterday paying a bill and the transaction wasn't going through.,Feb-17,
Let's Talk About.........,@Mbhabra3,"Location is kilifi - plantation area.
Your system seems to be very easy to hack?
Could it also be that people get huge bills because some ex kplc staff still have access to your system?
Gosh, one wonders how many people are getting conned",Feb-15,
Alice,@Nimmz_Mugo,"They also need to do a reading because the February bill is 4k with basically no consumption, so I am not planning on paying.",Feb-15,
Charles Ndonga,@McNdonga,@KenyaPower_Care Kindly provide me the bill for account number 28462927. Your sms services isn't working,Feb-15,
Brinah Georges,@BrinahGeorges,"When you guys decided to increase on the electricity bills ,the main reason mention there will not be any power interruptions or shortage. So why is this happening",Feb-17,4
Peter Kip,@PeterKi94827653,@KenyaPower_Care  no power in koma tengecha for three weeks but we have received the bill anyway. Ac 34118103 next to tenwek International school chepngaina,Feb-14,
Kevin_Amayo,@Amayo6Kevin,"So, are we waiting for them to come next week to just insert the poles and then again come in the next two weeks with the transformer? Can't they really see the suffering they're causing people. Are they aware some people are jobless in this place because of them, with bills.",Feb-14,
Michael Alekwa,@MichaelAlekwa,I can't get my bill from August to date,Feb-14,
Michael Alekwa,@MichaelAlekwa,"Hey need help,the house that I rented I found  huge bill,my question is can I knowmy from the day I started renting it.",Feb-14,
Ephraim,@ephrah82,@KenyaPower_Care Bill complaint ref. no. is R2119210500406 has never been sorted. I'm wondering how this was closed,Feb-13,
Kilunda Juliet,@JulietKilunda,"How logic is this
On 27/01/2023 my bill was kshs 7073.I paid.
Yesterday I conformed  the bill again but am surprised to get it reading kshs 11046.
What is the meaning of this???",Feb-13,
Njoki Greysea,@NjokiwaMugo,"I erronously paid my post paid bill of Kshs. 5,400 to the wrong account. I meant to pay account No. 23941614 but in error paid to account No. 24013823. 
Kindly assist

RBC4HZBDRQ Confirmed. Ksh5,400.00 sent to KPLC for account 24013823 on 12/2/23 at 3:33 PM",Feb-12,1
Muteti,@Muteti02176891,"This wanton theft has been going on for some years now on the name of different bill g system based in one's monthly consumption. U consume more, they charge higher. Absurd!",Feb-11,
Julie,@JuliahTuitoek,Welcome to Kenya power where less units is paid more and more units is paid less.. Kenya power the kind of of bills you give now days leaves us wondering.,Feb-12,
S 1 T ∆ T I ✶,@SitatiMuliro,@KenyaPower_Care kindly explain how a month's power bill can jump from 5k(accumulated for like 5 months) to 11k for one month yet there is no increase in power consumption. Since we got connected we have never paid above 2k. Kindly check your billing for ,Feb-11,
S 1 T ∆ T I ✶,@SitatiMuliro,@KenyaPower_Care kindly explain how a month's power bill can jump from 5k(accumulated for like 5 months) to 11k for one month yet there is no increase in power consumption. Since we got connected we have never paid above 2k. Kindly check your billing for ,Feb-11,
Milanya Victor,@denyshavs,Is it possible you can share with me my power consumption units in terms of bill in January 2023 for meter no 062001467.,Feb-12,
Meshmerized ™,@Meshmonroe1,Trying to pay my bill but it's not going through... please advise. @KenyaPower_Care @KenyaPower,Feb-10,
LynahCerah,@LynahCerah,You guys are frustrating me. You ask for details and do not follow up on anything. I have paid my power bill and I am still in darkness @_Kenya_power_ what are you waiting for so you can put my power back on????,Feb-10,
cmbugua | #FreeKenya,@Ruskim,"@KenyaPower_Care Hello, is there an issue with bill generation?",Feb-10,
george kibira,@georgehebron,@KenyaPower_Care how do I change my account number in the sellfcare portal. I have a account I don't need anymore but I continue to get bills that don't concern me. I want to ad a new account!,Feb-10,
