Author,Handle,Media URL,Reposts,Likes,Comments,Views,Post Link,Profile Link,Post,Date,Name,Retweets,Tweet URL,Post Body,Timestamp
STANLEY WAINAINA,@stanwyne,,,,,,https://x.com/stanwyne,https://x.com/stanwyne,"@KenyaPower_Care what's not happening...kindly restore our elec in Gatongora , kiambu",19-May,,,,,
Peter Cook,@PeterCook254,,,,,,https://x.com/PeterCook254,https://x.com/PeterCook254,Good morning. Can you kindky help restore power in my area.,19-May,,,,,
Invictus Maneo,@Donlamaciv,,,,,,https://x.com/Donlamaciv,https://x.com/Donlamaciv,@KenyaPower_Care @KenyaPower no power in Malindi Central  behind Burhani Academy. Kindly restore its too hot.,19-May,,,,,
soloh,@soloh_mbote,,,,,,https://x.com/soloh_mbote,https://x.com/soloh_mbote,"@KenyaPower_Care No progress since the complaint  yesterday
Kindly restore full power 
Complaint number 11286568",19-May,,,,,
Dee Saj,@saj_dee,,,,,,https://x.com/saj_dee,https://x.com/saj_dee,There has been no power in Mahanga market VIHIGA for the past 24hrs. Your Mbale office number as usual is out of service. Your lazy staff have intentionally switched off the lines ndio wasisumbuliwe. We need the power restored immediately coz we don't understand why the blackout!,19-May,,,,,
Linda Aduda,@amondiaduda,,,,,,https://x.com/amondiaduda,https://x.com/amondiaduda,"@KenyaPower_Care No power in Manji Estate, along city park drive since 7pm yesterday. Meter no 1000561. Kindly restore.",19-May,,,,,
Muthoni Kingori,@SonnieEve,,,,,,https://x.com/SonnieEve,https://x.com/SonnieEve,"Hi, kindly assist restore power reference no.11288556 acc no.1083419. Thanks",19-May,,,,,
Nabwire Fifi,@NabwireO,,,,,,https://x.com/NabwireO,https://x.com/NabwireO,@KenyaPower_Care no power since last night at Ngando near Lenana school. When will power be restored?,19-May,,,,,
Guys guys guys,@DukeGeche,,,,,,https://x.com/DukeGeche,https://x.com/DukeGeche,@KenyaPower_Care Hi no power in some buildings around #Mirema Road and drive since Friday. I understand there's a damaged transforme. When will power be restored. Kindly share an update,19-May,,,,,
moses Onyango,@Onyashmoz,,,,,,https://x.com/Onyashmoz,https://x.com/Onyashmoz,"@KenyaPower Please restore Bura Tana power. Account 14251131554.
Thanks",19-May,,,,,
Unco J. Pro Mwanamziki,@JMwanamziki,,,,1.0,,https://x.com/JMwanamziki,https://x.com/JMwanamziki,No power in kibiku day 4 nowplease restore,19-May,,,,,
Sally Nyanducha,@SNyanducha,,,,1.0,,https://x.com/SNyanducha,https://x.com/SNyanducha,"No power in Buruburu since yesterday
 afternoon.When will it be restored?",19-May,,,,,
Dakigo254,@De_SubSaharan,,,,1.0,,https://x.com/De_SubSaharan,https://x.com/De_SubSaharan,"@KenyaPower_Care , we've had blackout due to a burned-out line since 8pm last night (a tree brach fall due to the rains); pls restore power for us, its been gone all night. #32750046#",19-May,,,,,
Servis_provider,@servis_provider,,,,2.0,,https://x.com/servis_provider,https://x.com/servis_provider,@KenyaPower_Care how are we still waking up in darkness at wangige meter number 37125085508 after spending yesterday without power? This is unacceptable. Kindly act swiftly to restore power.,19-May,,,,,
Johnny The One,@Johnnie_TheOne,,,4.0,2.0,,https://x.com/Johnnie_TheOne,https://x.com/Johnnie_TheOne,"Helooh, there's no power huku Kiambu County, Komothai location, Kibau-ini village near Gathiru-ini coffee factory since yesterday night. Kindly restore power.",19-May,,,,,
Beryl Marere,@NyakwarKidha,,,,,,https://x.com/NyakwarKidha,https://x.com/NyakwarKidha,"@KenyaPower_Care Greetings, kindly restore power in Riruta Satellite, Kinyanjui Rd. No power. Went out when it was raining heavily.",18-May,,,,,
updatesKE,@Greyyy_254,,,,2.0,,https://x.com/Greyyy_254,https://x.com/Greyyy_254,"Hello, we just lost electricity kindly restore ...kahawa west",18-May,,,,,
SANTINA M,@wafulasaint,,,,1.0,,https://x.com/wafulasaint,https://x.com/wafulasaint,"@KenyaPower_Care Hello, kindly help restore electricity at Musikoma Ack, Bungoma. These long blackouts have become too frequent.",18-May,,,,,
Messi Mafia,@Jay_GT420,,,,1.0,,https://x.com/Jay_GT420,https://x.com/Jay_GT420,@KenyaPower_Care  kindly restore power at Witeithie....we haven't had power since midday,18-May,,,,,
kate maina,@landrynduta,,,,,,https://x.com/landrynduta,https://x.com/landrynduta,No lights in juja .restore,18-May,,,,,
Rev. Hillary Korir,@RevKorir65887,,,,1.0,,https://x.com/RevKorir65887,https://x.com/RevKorir65887,I haven't seen lights since morning in ngondu area njoro subcounty since morning. Pliz kplc do something and restore the lights Pliz,18-May,,,,,
wonder59,@wonda591,,,,1.0,,https://x.com/wonda591,https://x.com/wonda591,Kindly restore power at Keroka kasarani cause the neighbour has power since morning,18-May,,,,,
Emmanuel Olanga,@manuuh808,,,1.0,5.0,,https://x.com/manuuh808,https://x.com/manuuh808,Kenya Power Our systems are going on and off for three days straight... Could you expedite and restore the power as soon as possible here at Dayspring flats Kariobangi South... Meter number... 04225749391,18-May,,,,,
Nilote,@riverlakenilote,,,,2.0,,https://x.com/riverlakenilote,https://x.com/riverlakenilote,@KenyaPower_Care when will you restore power in kibichiku? Ac no 54601993964,18-May,,,,,
Karis,@kareokey,,,,1.0,,https://x.com/kareokey,https://x.com/kareokey,@KenyaPower_Care please restore power back in kirigiti. Day 2 without power.,17-May,,,,,
_azani.g_,@AzaniGeoffery,,,,2.0,,https://x.com/AzaniGeoffery,https://x.com/AzaniGeoffery,@KenyaPower_Care would you please restore back electricity in our area. tuko gizani bana A/C no.54500185449.,17-May,,,,,
Sheila Ogwell.,@Shebambash,,,,4.0,,https://x.com/Shebambash,https://x.com/Shebambash,@KenyaPower_Care delay in token generation? Kindly check DM and revert,17-May,,,,,
Jean,@_jean_mimi,,,1.0,2.0,,https://x.com/_jean_mimi,https://x.com/_jean_mimi,"There is no power behind Quickmart Roasters, and we're not on the list. Power was restored in the wee hours of the morning, only to go again this morning. Please sort this out.",17-May,,,,,
moses Onyango,@Onyashmoz,,,,2.0,,https://x.com/Onyashmoz,https://x.com/Onyashmoz,Please restore and stablize Bura Tsna power. It went off at 1am,17-May,,,,,
Comrade wa Pwani,@ErickTaison,,,,3.0,,https://x.com/ErickTaison,https://x.com/ErickTaison,Now will my account/ meter number be of help  please help us restore power,17-May,,,,,
J m kuria,@enezabusiness,,,,1.0,,https://x.com/enezabusiness,https://x.com/enezabusiness,"@KenyaPower_Care we have been out of power for 2 weeks now at Gitaru Ngubi Kabete 
Meter number 37181626302 I have tried to report through the out and x without any response kindly do the needful restore power.",16-May,,,,,
Isla,@Esssy_estar,,,,1.0,,https://x.com/Esssy_estar,https://x.com/Esssy_estar,@KenyaPower_Care please restore electricity in some parts of Utawala meter no 54600450040,16-May,,,,,
Andrew Mathenge,@aamathenge,,,,1.0,,https://x.com/aamathenge,https://x.com/aamathenge,@KenyaPower_Care outage in Karen / Fair Acres. Please update on work being done to restore service.,16-May,,,,,
Unco J. Pro Mwanamziki,@JMwanamziki,,,,1.0,,https://x.com/JMwanamziki,https://x.com/JMwanamziki,@KenyaPower Hellow..there is no power in kibiku please restore,16-May,,,,,
Mercy Njeru,@mercynjeruh,,,,1.0,,https://x.com/mercynjeruh,https://x.com/mercynjeruh,"Please restore power back at kenyatta rd! We were not scheduled for today as per this, but were are off since 9am.",16-May,,,,,
#FreePalestine,@akmbaraka,,,,,,https://x.com/akmbaraka,https://x.com/akmbaraka,"@KenyaPower_Care we have been without power this afternoon and it's already getting dark, are there plans to restore power any time soon?",16-May,,,,,
#FreePalestine,@akmbaraka,,,,,,https://x.com/akmbaraka,https://x.com/akmbaraka,"We are in darkness here at Kesses in Eldoret, when will power be restored?",16-May,,,,,
MO Mc'Opondo,@MosesMcOpondo,,,,2.0,,https://x.com/MosesMcOpondo,https://x.com/MosesMcOpondo,@KenyaPower_Care This outage reported early last evening as below (@ Midland Court Estate just down Muhoho Av. metres from Bellevue Skul & in South 'C' - Nbo) remains un-attended & there4 un-resolved inspite of ur Karen team having rang this a.m. undertaking to sort! Pls restore!,16-May,,,,,
MaryGachara,@MaryGachara,,,,1.0,,https://x.com/MaryGachara,https://x.com/MaryGachara,"@KenyaPower_Care Account number 38742967 Account name George Gachara, still no lights. Restore",16-May,,,,,
kihiu kiragu,@kihiu,,,,3.0,,https://x.com/kihiu,https://x.com/kihiu,@KenyaPower_Care We lost power on convent drive Lavington at 9am. Kindly let us know what's going on and what time power will be restored,16-May,,,,,
hannah chepsy,@HChepsy,,,,1.0,,https://x.com/HChepsy,https://x.com/HChepsy,@KenyaPower_Care kindly account 14140226292 no lights since yesterday please restore,16-May,,,,,
MOHA Erdogan,@sameer_sahal,,,,3.0,,https://x.com/sameer_sahal,https://x.com/sameer_sahal,"@KenyaPower_Care we are  in blackout for the last 21 days,the last 2 weeks we understand it was because of the floods but now since the floods are over please communicate with Garissa township office to restore power for Iftin ward specifically iftin stage",16-May,,,,,
Johnny The One,@Johnnie_TheOne,,,,1.0,,https://x.com/Johnnie_TheOne,https://x.com/Johnnie_TheOne,"We have no electricity huku Mtwapa, Maweni. Kindly restore",16-May,,,,,
Larry Gichuru,@Larryygichuru91,,,,2.0,,https://x.com/Larryygichuru91,https://x.com/Larryygichuru91,Restored. Thank you,15-May,,,,,
James Ogola,@Jamago2J,,2.0,1.0,,,https://x.com/Jamago2J,https://x.com/Jamago2J,"@KenyaPower_Care I have been without power for the last 3 months. I plus members of my family have called and visited your offices a number of times. We have written an email towards the same. KPLC has done nothing to restore my power.
Ref. No.
10864563",15-May,,,,,
Esther Kung'u (Njonde),@EstherKungu,,,,2.0,,https://x.com/EstherKungu,https://x.com/EstherKungu,"@KenyaPower_Care, please restore power in Zambezi. Thank you. Meter number is on DM.",15-May,,,,,
mmchuba,@mmuchuba,,,,2.0,,https://x.com/mmuchuba,https://x.com/mmuchuba,@KenyaPower_Care  please restore power Ac 37156622245,15-May,,,,,
T1000,@Russell_H_O,,,,,,https://x.com/Russell_H_O,https://x.com/Russell_H_O,"@KenyaPower_Care @KenyaPower dear incompetent, lazy and tribal fools, are you even aware there is no power in Boya Kisumu County, or y'all are just in bars and brothels enjoying your salaries that you've not earned with prostitutes and hoes, do your jobs restore power",15-May,,,,,
tevin Otieno,@Otieno4Tevin,,,,,,https://x.com/Otieno4Tevin,https://x.com/Otieno4Tevin,"@KenyaPower_Care  who does you work for arent we the people you serve ? Kenya power nyamira branch has refused to respond to claims by the locals of kitutu masaba , regoma village specifically nyangori center on any attempt to restore power on some lines",15-May,,,,,
mmchuba,@mmuchuba,,,,,,https://x.com/mmuchuba,https://x.com/mmuchuba,@KenyaPower  please restore power Ac 37156622245,15-May,,,,,
mmchuba,@mmuchuba,,,,1.0,,https://x.com/mmuchuba,https://x.com/mmuchuba,@KenyaPower_Care kindly restore power Ac 37156622245,15-May,,,,,
omijiot,@omijiot,,,,2.0,,https://x.com/omijiot,https://x.com/omijiot,more than an hour and still not restored,15-May,,,,,
Grace N Wanjiru,@wanjirugrace150,,,,,,https://x.com/wanjirugrace150,https://x.com/wanjirugrace150,Restored now thank you!,15-May,,,,,
hannah chepsy,@HChepsy,,,,2.0,,https://x.com/HChepsy,https://x.com/HChepsy,"@KenyaPower_Care now account 25861806 still not sorted 
Since Saturday food has gone bad and no one wants to help us. Please please restore ppwer",15-May,,,,,
Samuel Muhoro,@SKMuhoro,,,,5.0,,https://x.com/SKMuhoro,https://x.com/SKMuhoro,"@KenyaPower @KenyaPower_Care Hello Good People, thank you as you make efforts to restore power ref. 11268328. Asanteni Sana.",15-May,,,,,
Musuluvy,@Musuluvy,,,,2.0,,https://x.com/Musuluvy,https://x.com/Musuluvy,Ref 11264881. What am I supposed to do if you won't restore my electricity. Now we have no water and no electricity through no fault of our own. Please expedite this issue urgently.,15-May,,,,,
MaryGachara,@MaryGachara,,,,3.0,,https://x.com/MaryGachara,https://x.com/MaryGachara,@KenyaPower_Care no lights kindly restore account name George Gachara account number 38742967,15-May,,,,,
bettymwash,@BettyAc79038365,,,,2.0,,https://x.com/BettyAc79038365,https://x.com/BettyAc79038365,"@KenyaPower_Care Kindly restore power on 4th Parklands Avenue, next to Agakhan University Hospital. Acc 650091",15-May,,,,,
BMW@2024,@benmutama1,,1.0,,2.0,,https://x.com/benmutama1,https://x.com/benmutama1,"@KenyaPower_Care @KenyaPower 
Please restore power in the Nyali constituency, Frere town, bombolulu mtr no 37150938241",14-May,,,,,
pouline,@pouline50951308,,,,2.0,,https://x.com/pouline50951308,https://x.com/pouline50951308,The power is yet to be restored here in uhuru estate. Kindly assist,14-May,,,,,
Sammy Ndiwa,@Kororiet,,,,3.0,,https://x.com/Kororiet,https://x.com/Kororiet,"Good afternoon, our transformer was blown up in March, since then it has never been restored. Kindly what or who will assist us get the power back. My meter no. 3716988301 in mt. Elgon.",14-May,,,,,
Ennui,@Ennui_254,,,,3.0,,https://x.com/Ennui_254,https://x.com/Ennui_254,@KenyaPower_Care kindly restore  power  on account  number 16092462.,14-May,,,,,
Irene Muchunu,@IreneMuchunu,,,,2.0,,https://x.com/IreneMuchunu,https://x.com/IreneMuchunu,"@KenyaPower_Care My apartment is the only one that did not get power back in a compound of 40 apartments at Mocah, Thindigua. Reported number 11264193. Please check why there is delay when we have blackouts, everyone gets there power back except me.  6 hours now.. Please help.",14-May,,,,,
Wamuyu Mathenge,@MathengeWamuyu,,,,2.0,,https://x.com/MathengeWamuyu,https://x.com/MathengeWamuyu,"@KenyaPower_Care @KenyaPower_Care 

We have had no lights for more than 24hrs now behind Naivas 44. No communication from your team. 

Kindly restore power.",14-May,,,,,
Linus kanyi,@Linus24353273,,,,5.0,,https://x.com/Linus24353273,https://x.com/Linus24353273,"Hi Kenya power, 
Kindly assist restore power reference number ,14245854899 no power from  Tuesday last week.",14-May,,,,,
El Solo Hobo,@_gathoni_,,,,5.0,,https://x.com/_gathoni_,https://x.com/_gathoni_,@KenyaPower_Care we haven't had power since last night at 9:45p.m. You've restored it to only a small area while some of us still can't get any work done. Mtr. No.- 14286445532. Ref. No. from last night-11261781,14-May,,,,,
Sunland Real Estate,@SunlandRE,,,,1.0,,https://x.com/SunlandRE,https://x.com/SunlandRE,"@KenyaPower
Please restore power at Lower Pangani account number 36462422.",14-May,,,,,
MaryGachara,@MaryGachara,,,,1.0,,https://x.com/MaryGachara,https://x.com/MaryGachara,@KenyaPower_Care kindly restore account number 38742967 account name George Gachara  no lights since 2p.m.yesterday,14-May,,,,,
Pyalo,@PyaloLangat,,,,,,https://x.com/PyaloLangat,https://x.com/PyaloLangat,@KenyaPower please restore power stability around Olerai area of Ongata Rongai.,14-May,,,,,
Japheth Ochieng,@Japheth_Ochieng,,,,1.0,,https://x.com/Japheth_Ochieng,https://x.com/Japheth_Ochieng,@KenyaPower_Care power outage in our area a/c 92100670956. Kindly restore.,14-May,,,,,
Nancy,@Miss_Giks,,,,,,https://x.com/Miss_Giks,https://x.com/Miss_Giks,"@KenyaPower_Care Night 5 with no power area around Karuri fire station. What is taking so long for a transformer to be replaced? We've had to throw away food, and most painfully my infant's breastmilk stash. What is wrong with you people? What's causing the delay????!!!",13-May,,,,,
Dj Mr.T Kenya,@tmistah,,1.0,,,,https://x.com/tmistah,https://x.com/tmistah,@KenyaPower_Care token delay??,13-May,,,,,
Jam Ka shiru news updates,@jam_shiru,,,,,,https://x.com/jam_shiru,https://x.com/jam_shiru,Delayed token for meter number 37181209521,13-May,,,,,
Calvin™,@calvin_ski,,,,1.0,,https://x.com/calvin_ski,https://x.com/calvin_ski,"Until what time are we to wait? Since 1pm we have had no power, and most of us have school going children who would benefit much from the electricity you take so long to restore.
Cc @KenyaPower @davis_chirchir",13-May,,,,,
s𝛋3𝚌𝚑𝚒e,@sk3chie,,,,2.0,,https://x.com/sk3chie,https://x.com/sk3chie,"Never mind it..
Imekuja but delayed like 10mins",13-May,,,,,
K_M,@KateMuriithi,,,,,,https://x.com/KateMuriithi,https://x.com/KateMuriithi,@KenyaPower_Care Power is off again after being for only 4hrs since last night a/c 14104535308. Pls restore...hopefully not another night in the dark.,13-May,,,,,
essy mwaniki,@mwanikiessy,,1.0,,,,https://x.com/mwanikiessy,https://x.com/mwanikiessy,"Ref 11231069,its Been 8days now in darkness. It's so frustrating being out of power and no solution. I am now http://begging.help us please restore power . It's really unfair what is happening. This is not the way to treat your customers",13-May,,,,,
Laureen Oludhe,@LaureenOludhe,,,,,,https://x.com/LaureenOludhe,https://x.com/LaureenOludhe,There's still no lights since Saturday please restore power because things are going bad in the fridges and some of us work from home ac no 54501138942 near  Siaya township primary,13-May,,,,,
Justus Mwakideu,@MwakideuJustus,,,,,,https://x.com/MwakideuJustus,https://x.com/MwakideuJustus,"Hi, good morning, electricity has gone.
ACC. 14403004915, Mtwapa near Mzambarauni Grounds. Kindly restore power.",13-May,,,,,
Kenneth Mutisya,@KennethMutisya,,,,1.0,,https://x.com/KennethMutisya,https://x.com/KennethMutisya,@KenyaPower_Care No power. Raised ticket 11257992. I need power restored. It has been 1 month now.,13-May,,,,,
Ken Njoroge,@Kenmukigi,,,,,,https://x.com/Kenmukigi,https://x.com/Kenmukigi,@KenyaPower_Care Still another morning asking you why you have not restored our power since thursday last week yet there is a sub station merely a KM from my location and they barely do nothing,13-May,,,,,
essy mwaniki,@mwanikiessy,,,,,,https://x.com/mwanikiessy,https://x.com/mwanikiessy,"@KenyaPower_Care Ref 11231069,its Been 8days now in darkness, you said you are working on replacing the transformer but nothing has been done. It's so frustrating being in darkness and no solution. I am now http://begging.help us please restore power",13-May,,,,,
essy mwaniki,@mwanikiessy,,,,,,https://x.com/mwanikiessy,https://x.com/mwanikiessy,"@KenyaPower_Care Ref 11231069,its Been 8days now in darkness, you said you are working on replacing the transformer but nothing has been done. It's so frustrating being in darkness and no solution. I am now http://begging.help us please restore.",13-May,,,,,
John muraya,@Johnmur76560017,,,,1.0,,https://x.com/Johnmur76560017,https://x.com/Johnmur76560017,Restore full power in mugumo Estate it low voltage and destroying appliances and computers,13-May,,,,,
Kipkirui Chemoiyai,@KChemoiyai,,,,2.0,,https://x.com/KChemoiyai,https://x.com/KChemoiyai,"@KenyaPower_Care kindly assist to restore power at annex area, we have been in having blackout since 10am. Please intervene..",12-May,,,,,
Japheth Ochieng,@Japheth_Ochieng,,1.0,,1.0,,https://x.com/Japheth_Ochieng,https://x.com/Japheth_Ochieng,@KenyaPower_Care a/c 92100670956 power outage in our area for more than 24 hours. Kindly restore.,12-May,,,,,
Boaz  Omukuyia,@Boaz_Omukuyia,,,1.0,,,https://x.com/Boaz_Omukuyia,https://x.com/Boaz_Omukuyia,"@KenyaPower 
We are suffering at Kariobangi South estate. If it's impossible to restore stable power tell us",12-May,,,,,
Caroline Kariuki,@Carolinekayjer,,,,1.0,,https://x.com/Carolinekayjer,https://x.com/Carolinekayjer,"No sooner had I said the lights are back we experienced another blackout ,location is bypass near kamakis, kindly restore our power it's been 2hrs from then.",12-May,,,,,
Jacy Makau,@Jacy976286981,,,,2.0,,https://x.com/Jacy976286981,https://x.com/Jacy976286981,Please restore power in uasin gishu kapsoya,12-May,,,,,
David Kibue.,@DavidKibue2,,,,,,https://x.com/DavidKibue2,https://x.com/DavidKibue2,"Kindly also restore power in Ndathiini, Ngewa ward, Githunguri subcounty.
We have had no power for two days now",12-May,,,,,
Owino Invictus,@invictus_owino,,,,1.0,,https://x.com/invictus_owino,https://x.com/invictus_owino,"Please restore power to the phase running meter number 37166417834....
Tuko blackout wenyewe kwa neighborhood",12-May,,,,,
assignment help,@BrianAssignment,,,2.0,,,https://x.com/BrianAssignment,https://x.com/BrianAssignment,"Restore power first at today's areas, you had given a notice of 9-5 its 8 now and power is not back",12-May,,,,,
mohaa bushe,@BusheMohaa,,,,1.0,,https://x.com/BusheMohaa,https://x.com/BusheMohaa,"@KenyaPower_Care what is the progress of madogo,junction,KBC tower all the way to Bangal Town line? We have been in darkness for almost ten days and still counting,kindly updates us on the progress made to restore light",12-May,,,,,
Owino Invictus,@invictus_owino,,,1.0,1.0,,https://x.com/invictus_owino,https://x.com/invictus_owino,"Please restore power to the phase running meter number 37166417834....
Tuko blackout wenyewe kwa neighborhood",12-May,,,,,
Caroline Kariuki,@Carolinekayjer,,,,1.0,,https://x.com/Carolinekayjer,https://x.com/Carolinekayjer,They have been restored thank you,12-May,,,,,
Caroline Kariuki,@Carolinekayjer,,,,1.0,,https://x.com/Carolinekayjer,https://x.com/Carolinekayjer,"@KenyaPower_Care kindly restore power at 54600560061, we want to watch today's match Man and Arsenal",12-May,,,,,
Violet Osoro,@Violetosoro,,,,1.0,,https://x.com/Violetosoro,https://x.com/Violetosoro,@KenyaPower_Care we have had no power for 2 days now at Banana Hill near the Banana Fire Station. The transformer around there keeps on blowing up. Kindly restore power. We are incurring crazy losses!,12-May,,,,,
mohaa bushe,@BusheMohaa,,,,1.0,,https://x.com/BusheMohaa,https://x.com/BusheMohaa,"@KenyaPower_Care what is the progress of madogo,junction,KBC tower all the way to Bangal Town line? We have been in darkness for almost ten days and still counting,kindly updates us on the progress made to restore light",12-May,,,,,
Owino Invictus,@invictus_owino,,,1.0,1.0,,https://x.com/invictus_owino,https://x.com/invictus_owino,"Please restore power to the phase running meter number 37166417834....
Tuko blackout wenyewe kwa neighborhood",12-May,,,,,
Caroline Kariuki,@Carolinekayjer,,,,1.0,,https://x.com/Carolinekayjer,https://x.com/Carolinekayjer,They have been restored thank you,12-May,,,,,
Caroline Kariuki,@Carolinekayjer,,,,1.0,,https://x.com/Carolinekayjer,https://x.com/Carolinekayjer,"@KenyaPower_Care kindly restore power at 54600560061, we want to watch today's match Man and Arsenal",12-May,,,,,
Violet Osoro,@Violetosoro,,,,1.0,,https://x.com/Violetosoro,https://x.com/Violetosoro,@KenyaPower_Care we have had no power for 2 days now at Banana Hill near the Banana Fire Station. The transformer around there keeps on blowing up. Kindly restore power. We are incurring crazy losses!,12-May,,,,,
Edward,@Edward14977452,,,,1.0,,https://x.com/Edward14977452,https://x.com/Edward14977452,"Hi Kenya power, 
Kindly check on reference number 11255678, no power at Githanji Estate in Kenol Murang'a next to Githanji Primary School and Githanji Police Post. 
Please assist restore power.",12-May,,,,,
KidagulaS,@KidagulaS,,,1.0,1.0,,https://x.com/KidagulaS,https://x.com/KidagulaS,@KenyaPower_Care ac 14140382277 no power. Please check and restore asap,12-May,,,,,
Lydia Matata,@LydiaMatata,,,,,,https://x.com/LydiaMatata,https://x.com/LydiaMatata,Kindly restore power in Lang'ata as well.or at least respond to queries,12-May,,,,,
Lydia Matata,@LydiaMatata,,,2.0,2.0,,https://x.com/LydiaMatata,https://x.com/LydiaMatata,@KenyaPower_Care Lang'ata was not on the list. Kindly restore power . Complaints ref: 11254017,12-May,,,,,
Lydia Matata,@LydiaMatata,,,1.0,,,https://x.com/LydiaMatata,https://x.com/LydiaMatata,"Lang'ata is not scheduled for maintenance, and theyre no rains. Kindly restore electricity. Complaints Reference 11254017",12-May,,,,,
mahugu,@mahugulo,,,,1.0,,https://x.com/mahugulo,https://x.com/mahugulo,@KenyaPower_Care  Kindly restore power at Westlands along muthithi road.,12-May,,,,,
Calvin™,@calvin_ski,,,,1.0,,https://x.com/calvin_ski,https://x.com/calvin_ski,You people have not restored power yet. Until now.,12-May,,,,,
Violet Osoro,@Violetosoro,,,,,,https://x.com/Violetosoro,https://x.com/Violetosoro,"@KenyaPower_Care we have had no power for 2 days now in Banana Hill, Banana, just near the Banana Fire Station. The transformer around there keeps on blowing up. Kindly but urgently restore power.",12-May,,,,,
Mohamed Mahamood,@Iam_Moha9,,,,,,https://x.com/Iam_Moha9,https://x.com/Iam_Moha9,Kindly restore . Thank you,12-May,,,,,
Ben Njogu,@BNgoyah,,,,1.0,,https://x.com/BNgoyah,https://x.com/BNgoyah,Thanks it was restored,12-May,,,,,
Evarestoh,@Evarestoh1,,,,,,https://x.com/Evarestoh1,https://x.com/Evarestoh1,"Bought tokens at 5.24. Till now, I haven't received the units, but I what's the delay about",11-May,,,,,
At Angeleezy,@angie__daisy,,1.0,,1.0,,https://x.com/angie__daisy,https://x.com/angie__daisy,@KenyaPower_Care kindly restore power. Account no 45999364.,11-May,,,,,
zer0 BILLIONAIRE,@Bon_Sinner,,,,,,https://x.com/Bon_Sinner,https://x.com/Bon_Sinner,"Rather than posting on a daily basis, and sometimes you delay and post next day. Why don't you pin on your timeline the full week interruptions on a weekly basis.",11-May,,,,,
Komboi,@mutisoh18,,,,1.0,,https://x.com/mutisoh18,https://x.com/mutisoh18,It's the second day and the power is not yet restored.,11-May,,,,,
Njoki Njehu,@NjokiNjehu,,,,,,https://x.com/NjokiNjehu,https://x.com/NjokiNjehu,"@KenyaPower_Care
No power for Mom & her neighbours near Rukubi Market  since May 6. Wamevumilia/umia SANA. 

Account Number 21061650 
11216404 - 1st reference 
11239910 - 2nd reference 
11246134 - 3rd reference

When, oh when will the power be restored? Please respond, restore.",11-May,,,,,
FATII FATII,@Dumashi,,1.0,,,,https://x.com/Dumashi,https://x.com/Dumashi,@KenyaPower_Care 14107282577 no power at this account… kindly restore. SouthC amana estate area,11-May,,,,,
The Plain Nilote,@ankapiani,,,1.0,,,https://x.com/ankapiani,https://x.com/ankapiani,@KenyaPower_Care how long will it take you to restore power at Olpusimoru center and it's environs? Why are you punishing us?,11-May,,,,,
Annette Metho,@AnnetteMetho,,,,1.0,,https://x.com/AnnetteMetho,https://x.com/AnnetteMetho,Power has been restored.,11-May,,,,,
FATII FATII,@Dumashi,,1.0,,,,https://x.com/Dumashi,https://x.com/Dumashi,@KenyaPower_Care 14107282577 no power at this account… kindly restore. SouthC amana estate area,11-May,,,,,
The Plain Nilote,@ankapiani,,,1.0,,,https://x.com/ankapiani,https://x.com/ankapiani,@KenyaPower_Care how long will it take you to restore power at Olpusimoru center and it's environs? Why are you punishing us?,11-May,,,,,
Annette Metho,@AnnetteMetho,,,,1.0,,https://x.com/AnnetteMetho,https://x.com/AnnetteMetho,Power has been restored.,11-May,,,,,
Mary Susan Wairimu,@wmarysusan,,,,2.0,,https://x.com/wmarysusan,https://x.com/wmarysusan,@KenyaPower_Care  restore my power ref: 11230229.,11-May,,,,,
florence mwau,@FlorenceM86673,,,,,,https://x.com/FlorenceM86673,https://x.com/FlorenceM86673,No power 2 weeks now ref 11238112. Really frustrating KPLC. Please restore,11-May,,,,,
Jacob juma,@him_1176,,,,3.0,,https://x.com/him_1176,https://x.com/him_1176,"@KenyaPower_Care 
Metre 54606013149
Leo niko na agenda na nini
Restore power and we're not begging !!!
@KenyaPower_Care 
@KenyaPower 
Very incompetent",11-May,,,,,
Jacob juma,@him_1176,,1.0,,1.0,,https://x.com/him_1176,https://x.com/him_1176,"@KenyaPower_Care 
@KenyaPower 
Metre number 
54606013149
This has become a norm at kenyatta road daily mnazima stima
Kindly restore power avenue 2.
@KenyaPower_Care",11-May,,,,,
Kijana ya Pwani,@kijana_p,,,,,,https://x.com/kijana_p,https://x.com/kijana_p,It has been restored.,11-May,,,,,
livasia Ernest,@Ernest_Livasia,,,,,,https://x.com/Ernest_Livasia,https://x.com/Ernest_Livasia,"@KenyaPower_Care 

After 3 days without power, we lost power yesterday yet again ...some 5-6 hours after it was restored. Looks like a broken/blown out fuse. Reference number issued 11244806. Kindly look into it.  This is in Tassia Kwa Ndege. (see ref photos)",11-May,,,,,
Ariwayn,@ItsGlow254,,,,3.0,,https://x.com/ItsGlow254,https://x.com/ItsGlow254,"@KenyaPower_Care no power since yesterday afternoon.
Account number 27021641.
Please restore this with urgency.",11-May,,,,,
G,@eric_magoma,,,,2.0,,https://x.com/eric_magoma,https://x.com/eric_magoma,"@KenyaPower_Care Good morning , we had an outage since yesterday 3pm. Some sections within Magwagwa Market have electricity while others don't have .
Please send your technicians to restore the situation  at Magwagwa Shopping Centre , Nyamira County.
ACC. 20487989.",11-May,,,,,
